date,in,out,dif
1/1/2012,12749,9676,3073
1/2/2012,21354,22800,-1446
1/3/2012,22178,29152,-6974
1/4/2012,17407,24469,-7062
1/5/2012,18871,24105,-5234
1/6/2012,20092,25536,-5444
1/7/2012,18007,24081,-6074
1/8/2012,21907,24533,-2626
1/9/2012,17340,20254,-2914
1/10/2012,19223,24902,-5679
1/11/2012,16840,23755,-6915
1/12/2012,16906,21411,-4505
1/1/2013,19475,20667,-1192
1/2/2013,17122,17178,-56
1/3/2013,18715,18057,658
1/4/2013,19891,18405,1486
1/5/2013,20478,18051,2427
1/6/2013,20807,18393,2414
1/7/2013,27100,24144,2956
1/8/2013,26072,27673,-1601
1/9/2013,14220,22917,-8697
1/10/2013,20320,30745,-10425
1/11/2013,16252,28225,-11973
1/12/2013,16049,31342,-15293
1/1/2014,16816,28491,-11675
1/2/2014,16012,28204,-12192
1/3/2014,17509,36827,-19318
1/4/2014,17302,37725,-20423
1/5/2014,16881,35296,-18415
1/6/2014,25981,37290,-11309
1/7/2014,39550,43795,-4245
1/8/2014,34211,41887,-7676
1/9/2014,31976,35707,-3731
1/10/2014,36273,45398,-9125
1/11/2014,33771,45610,-11839
1/12/2014,33613,47858,-14245
1/1/2015,25385,43586,-18201
1/2/2015,22782,39638,-16856
1/3/2015,22972,46793,-23821
1/4/2015,23350,47400,-24050
1/5/2015,21761,47675,-25914
1/6/2015,21549,51661,-30112
1/7/2015,30209,57273,-27064
1/8/2015,34912,59996,-25084
1/9/2015,31848,57952,-26104
1/10/2015,31339,66672,-35333
1/11/2015,31396,66441,-35045
1/12/2015,30643,66924,-36281
1/1/2016,26851,65500,-38649
1/2/2016,28143,65088,-36945
1/3/2016,31641,75526,-43885
1/4/2016,30597,88699,-58102
1/5/2016,30184,90676,-60492
1/6/2016,34582,96369,-61787
1/7/2016,36520,105379,-68859
1/8/2016,40038,101612,-61574
1/9/2016,30484,101347,-70863
