date,in,out,dif
1/1/2012,20,0,20
1/2/2012,255,0,255
1/3/2012,974,1,973
1/4/2012,977,2,975
1/5/2012,1298,39,1259
1/6/2012,1367,59,1308
1/7/2012,1263,140,1123
1/8/2012,1313,231,1082
1/9/2012,990,320,670
1/10/2012,1280,477,803
1/11/2012,1001,518,483
1/12/2012,1074,490,584
1/1/2013,1018,623,395
1/2/2013,776,487,289
1/3/2013,704,505,199
1/4/2013,608,502,106
1/5/2013,510,507,3
1/6/2013,575,430,145
1/7/2013,649,687,-38
1/8/2013,706,791,-85
1/9/2013,809,679,130
1/10/2013,929,957,-28
1/11/2013,903,911,-8
1/12/2013,1027,876,151
1/1/2014,1278,736,542
1/2/2014,2295,670,1625
1/3/2014,3438,761,2677
1/4/2014,3188,836,2352
1/5/2014,3152,729,2423
1/6/2014,3300,842,2458
1/7/2014,3893,1163,2730
1/8/2014,4010,1071,2939
1/9/2014,3960,962,2998
1/10/2014,4587,1248,3339
1/11/2014,5183,1376,3807
1/12/2014,5193,1447,3746
1/1/2015,5182,1336,3846
1/2/2015,5055,1396,3659
1/3/2015,6185,1402,4783
1/4/2015,5359,1521,3838
1/5/2015,5750,1702,4048
1/6/2015,5381,1623,3758
1/7/2015,6071,2226,3845
1/8/2015,5390,2598,2792
1/9/2015,3985,3982,3
1/10/2015,3767,3775,-8
1/11/2015,3866,3518,348
1/12/2015,3931,3669,262
1/1/2016,3744,3300,444
1/2/2016,3629,2962,667
1/3/2016,5146,3013,2133
1/4/2016,5490,2981,2509
1/5/2016,6060,2745,3315
1/6/2016,5899,3046,2853
1/7/2016,7185,2892,4293
1/8/2016,7581,2923,4658
1/9/2016,6606,2511,4095
