date,in,out,dif
1/1/2012,0,0,0
1/2/2012,0,0,0
1/3/2012,17,0,17
1/4/2012,974,0,974
1/5/2012,1982,0,1982
1/6/2012,2278,3,2275
1/7/2012,2160,126,2034
1/8/2012,1845,384,1461
1/9/2012,1840,456,1384
1/10/2012,2502,560,1942
1/11/2012,2422,532,1890
1/12/2012,3429,560,2869
1/1/2013,2904,603,2301
1/2/2013,2371,576,1795
1/3/2013,2329,589,1740
1/4/2013,3343,662,2681
1/5/2013,4197,1055,3142
1/6/2013,4486,1350,3136
1/7/2013,7261,2059,5202
1/8/2013,9673,1615,8058
1/9/2013,8513,942,7571
1/10/2013,10506,1381,9125
1/11/2013,8103,1320,6783
1/12/2013,7879,1228,6651
1/1/2014,6823,1328,5495
1/2/2014,6092,1232,4860
1/3/2014,8105,1948,6157
1/4/2014,8332,2048,6284
1/5/2014,9861,1382,8479
1/6/2014,11461,1706,9755
1/7/2014,8408,1945,6463
1/8/2014,8659,1989,6670
1/9/2014,9040,1874,7166
1/10/2014,13939,1942,11997
1/11/2014,16419,1866,14553
1/12/2014,14680,1795,12885
1/1/2015,12434,2184,10250
1/2/2015,11191,2145,9046
1/3/2015,13188,2721,10467
1/4/2015,13413,2708,10705
1/5/2015,13024,2631,10393
1/6/2015,14843,2844,11999
1/7/2015,17159,4693,12466
1/8/2015,19356,4349,15007
1/9/2015,15906,4713,11193
1/10/2015,16169,5652,10517
1/11/2015,15104,6368,8736
1/12/2015,16262,5472,10790
1/1/2016,19681,4467,15214
1/2/2016,21589,4557,17032
1/3/2016,23704,6136,17568
1/4/2016,21669,7459,14210
1/5/2016,23697,8391,15306
1/6/2016,24789,9864,14925
1/7/2016,23226,10298,12928
1/8/2016,22338,10932,11406
1/9/2016,18812,8279,10533
