date,in,out,dif
1/1/2012,0,0,0
1/2/2012,0,0,0
1/3/2012,51,0,51
1/4/2012,5,0,5
1/5/2012,269,0,269
1/6/2012,1043,4,1039
1/7/2012,804,16,788
1/8/2012,1209,54,1155
1/9/2012,886,61,825
1/10/2012,1057,253,804
1/11/2012,1462,255,1207
1/12/2012,1263,364,899
1/1/2013,886,454,432
1/2/2013,390,295,95
1/3/2013,463,481,-18
1/4/2013,1162,439,723
1/5/2013,1064,430,634
1/6/2013,1213,553,660
1/7/2013,1168,603,565
1/8/2013,1992,823,1169
1/9/2013,1669,509,1160
1/10/2013,1926,797,1129
1/11/2013,1985,628,1357
1/12/2013,1576,650,926
1/1/2014,1474,861,613
1/2/2014,1750,776,974
1/3/2014,2122,1010,1112
1/4/2014,2654,1059,1595
1/5/2014,2532,1128,1404
1/6/2014,2288,1325,963
1/7/2014,2750,1659,1091
1/8/2014,2474,1590,884
1/9/2014,2337,1527,810
1/10/2014,2758,2017,741
1/11/2014,2174,1863,311
1/12/2014,2612,1730,882
1/1/2015,2044,1963,81
1/2/2015,2032,1402,630
1/3/2015,4015,1698,2317
1/4/2015,6830,1853,4977
1/5/2015,7887,1946,5941
1/6/2015,8647,2146,6501
1/7/2015,24152,2031,22121
1/8/2015,35190,3156,32034
1/9/2015,37470,4584,32886
1/10/2015,41476,6603,34873
1/11/2015,44609,8402,36207
1/12/2015,47566,8773,38793
1/1/2016,38245,9945,28300
1/2/2016,36446,11643,24803
1/3/2016,40403,14828,25575
1/4/2016,46393,14868,31525
1/5/2016,48323,15119,33204
1/6/2016,59429,14242,45187
1/7/2016,66007,15921,50086
1/8/2016,71206,17484,53722
1/9/2016,57575,18135,39440
